Bank,Credit Card,Photo Direct Link,Points or Cashback?,"If Points, Type?",General Cashback,Restaurants,Groceries,Drug Store,Gas,Travel,Entertainment,Bill Payments,Store,Cashback,Notes
RBC,RBC Visa CreditLine for Small Business,https://www.rbcroyalbank.com/credit-cards/app/assets/cards/ccl_clsb_en_sm.png,Points,RBC,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,0.57%,Petro-Canada,1.20%,
CIBC,CIBC Aventura® Visa Infinite Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-aventura-infinite-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,1.16%,1.16%,1.74%,1.74%,1.74%,0.00%,1.16%,0.00%,,,
CIBC,CIBC Aeroplan® Visa Infinite Card,https://www.cibc.com/content/dam/global/card_images/online-banking/ps-ac/cibc-olb-ps-ac-aeroplan-infinite-front-fr.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,1.16%,1.16%,1.74%,1.16%,1.74%,1.74%,1.16%,0.00%,,,
CIBC,CIBC Aventura® Visa Infinite Privilege Card,https://www.cibc.com/content/dam/personal_banking/credit_cards/product_pages/alpha-vip/Visa-Infinite-Privilege.svg/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,1.45%,2.32%,2.32%,1.45%,2.32%,3.48%,2.32%,0.00%,,,
CIBC,CIBC Aeroplan® Visa Infinite Privilege Card,https://www.cibc.com/content/dam/global/card_images/online-banking/ps-ac/cibc-olb-ps-ac-aeroplan-infinite-privilege-front-fr.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aeroplan,1.94%,2.33%,2.33%,1.94%,2.33%,3.10%,1.94%,0.00%,,,
CIBC,CIBC Aventura® Gold Visa Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-aventura-gold-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,1.16%,1.16%,1.74%,1.74%,1.74%,2.32%,1.16%,0.00%,,,
CIBC,CIBC Aventura® Visa Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-aventura-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,1.16%,1.16%,1.16%,1.16%,1.55%,1.55%,1.55%,0.00%,,,
CIBC,CIBC Aeroplan® Visa Card,https://www.cibc.com/content/dam/global/card_images/online-banking/ps-ac/cibc-olb-ps-ac-aeroplan-platinum-front-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aeroplan,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,1.55%,0.00%,,,
CIBC,CIBC Aventura® Visa Card for Students,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-aventura-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,0.58%,0.58%,1.16%,1.16%,1.16%,1.16%,0.58%,0.00%,,,
CIBC,CIBC Aeroplan® Visa Card for Students,https://www.cibc.com/content/dam/global/card_images/online-banking/ps-ac/cibc-olb-ps-ac-aeroplan-platinum-front-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aeroplan,1.03%,1.03%,1.55%,1.03%,1.55%,1.55%,1.03%,0.00%,,,
CIBC,CIBC Dividend® Visa Infinite Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-dividend-infinite-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Cashback,,1%,2%,4%,2%,4%,2%,1%,2%,,,
CIBC,CIBC Dividend Platinum® Visa Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-dividend-platinum-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Cashback,,1%,2%,3%,1%,3%,2%,1%,2.00%,,,
CIBC, CIBC Dividend® Visa Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-dividend-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Cashback,,0.50%,1%,2%,0.50%,1%,1%,0.50%,1.00%,,,
CIBC,CIBC Dividend® Visa Card for Students,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-dividend-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Cashback,,0.50%,1%,2%,0.50%,1%,1%,0.50%,1.00%,,,
CIBC,CIBC U.S. Dollar Aventura® Gold Visa Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-us-dollar-aventura-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Adventura,0.58%,0.58%,0.58%,0.58%,0.58%,0.58%,0.58%,0.00%,CIBC Rewards Centre Travel,1.16%,
CIBC,CIBC Select Visa Card,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-select-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
CIBC,CIBC Aventura® Visa Card for Business,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-aventura-gold-business-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,1.16%,1.16%,1.16%,1.16%,1.74%,1.74%,1.16%,0.00%,CIBC Rewards Centre Travel,2.32%,
CIBC,CIBC Aeroplan® Visa Business Card,https://www.cibc.com/content/dam/global/card_images/online-banking/ps-ac/cibc-olb-ps-ac-aeroplan-business-front-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aeroplan,1.55%,2.325%,1.55%,1.55%,1.55%,2.325%,1.55%,2.325%,"Air Canada, Air Canada Vacations",3.10%,"Bill payments cashback is 1.5% only for internet, cable and phone services"
CIBC,CIBC Aventura® Visa Card for Business Plus,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-aventura-business-plus-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Points,Aventura,1.16%,1.16%,1.16%,1.16%,1.74%,1.74%,1.16%,0.00%,CIBC Rewards Centre Travel,2.32%,
CIBC,CIBC Aeroplan® Visa Business Plus Card,https://www.cibc.com/content/dam/global/card_images/online-banking/ps-ac/cibc-olb-ps-ac-aeroplan-business-plus-front-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
CIBC,CIBC bizline® Visa Card for Business,https://www.cibc.com/content/dam/global/card_images/com/flat/cibc-visa-bizline-en.png/_jcr_content/renditions/cq5dam.thumbnail.319.319.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
