Bank,Credit Card,Photo Direct Link,Points or Cashback?,"If Points, Type?",General Cashback,Restaurants,Groceries,Drug Store,Gas,Travel,Entertainment,Bill Payments,Store,Cashback,Notes
BMO,Student BMO CashBack® Mastercard®,https://www.bmo.com/dist/images/personal/credit-cards/card-art/bmo-student-cashback.jpg,Cashback,,0.50%,0.50%,3%,0.50%,0.50%,0.50%,0.50%,1%,,,
BMO,Student BMO AIR MILES® Mastercard®,https://www.bmo.com/dist/images/personal/credit-cards/card-art/bmo-student-air-miles.jpg,Points,Air Miles,0.40%,0.40%,0.40%,0.40%,0.40%,1.20%,0.40%,0.40%,,,
CapitalOne,Guaranteed Mastercard®,https://www.capitalone.ca/static/gm-static-6f26a4ad18798737f744355146ea66c6.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
CapitalOne,Low Rate Guaranteed Mastercard®,https://www.capitalone.ca/static/gm-static-6f26a4ad18798737f744355146ea66c6.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
CapitalOne,Guaranteed Secured Mastercard®,https://www.capitalone.ca/static/gsm-static-6f26a4ad18798737f744355146ea66c6.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
CapitalOne,Aspire Travel™ Platinum Mastercard®,https://www.capitalone.ca/static/atp-en-static-d97169a174f8da97cf67856c0ea37cc2.png,Points,CapitalOne Travel,1%,1%,1%,1%,1%,1%,1%,1%,,,
CapitalOne,Aspire Cash™ Platinum Mastercard®,https://www.capitalone.ca/static/acp-en-static-55d82dcb91bcf839ccb5e2d481aca3e0.png,Cashback,,1%,1%,1%,1%,1%,1%,1%,1%,,,
CapitalOne,"Capital One Mastercard®, Exclusively for Costco Members",https://www.capitalone.ca/static/costco-static-2d19e1e24796c97a9cd1ab571cc8350d.png,Cashback,,1%,3%,1%,1%,2%,1%,1%,1%,,,
Brim,Brim Credit Card,https://brimfinancial.com/images/CARD_n1.png,Cashback,,1%,1%,1%,1%,1%,1%,1%,1%,"Amazon, Spotify, Netflix",2%,
Brim,Brim World Credit Card,https://brimfinancial.com/images/CARD_n2.png,Cashback,,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,1.50%,"Amazon, Spotify, Netflix",3%,
Brim,Brim World Elite Credit Card,https://brimfinancial.com/images/CARD_n3.png,Cashback,,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,2.00%,"Amazon, Spotify, Netflix",4%,
Triangle,Triangle Master Card,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQegjtaYIcTPX5mtAoTLj_lKI8nPfy9W1w8xmde5OvgtNIQDhb4yfe2WPsSdT01BNk_Owk&usqp=CAU,Points,Canadian Tire Money,0.50%,0.50%,1.50%,0.50%,0.50%,0.50%,0.50%,0.50%,"Sportscheck, Canadian Tire, Marks, Atmosphere, Gas at CT Gas or Husky Gas","4%, 5-7 cents",
Triangle,Triangle World Master Card,https://insureye.com/Reviews/reviews-files/styles/medium/public/product/2021-02/triangle-world-mastercard.png?itok=ShEeqZnn,Points,Canadian Tire Money,1%,3%,3.00%,1%,1%,1%,1%,1%,"Candian Tire, Canadian Tire Gas, Husky Gas","4%, 5-7 cents",
Triangle,Triangle World Elite Master Card,https://media.creditcardgenius.ca/credit-card-images/lg/canadian-tire-triangle-world-elite-mastercard.png,Points,Canadian Tire Money,1%,3%,3.00%,1%,1%,1%,1%,1%,"Candian Tire, Candian Tire Gas, Husky Gas","4%, 5-7 cents",
Canadian Tire,Canadian Tire Gas Advantage,https://canadiantire.scene7.com/is/image/CanadianTire/CardSelector_OMP_EN_2X?wid=435,Points,N/A,0%,0%,0%,0%,0%,0%,0%,0%,"Candian Tire Gas, Husky Gas",10 Cents,
Canadian Tire,Canadian Tire Cash Advantage,https://canadiantire.scene7.com/is/image/CanadianTire/CardSelector_OMR_EN_2X?wid=435,Cashback,,0.25%,0.25%,0.50%,0.25%,0.25%,0.25%,0.25%,0.25%,"Canadian Tire, Husky Gas",0.50%,
Amex,SimplyCashTM Preferred Card from American Express,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/SimplyCash_Preferred_Card.png,Cashback,,2%,2%,2%,2%,2%,2%,2%,2%,,,
Amex,SimplyCashTM Card from American Express,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/SimplyCash_Card.png,Cashback,,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,,,
Amex,American Express® Aeroplan®* Reserve Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/aeroplan-reserve-card.png,Points,Air Miles,,,,,,,,,,,
Amex,American Express® Aeroplan®* Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/aeroplan-card.png,Points ,Air Miles,,,,,,,,,,,
Amex,American Express CobaltTM Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/American_Express_Cobalt_Card.png,Points ,Air Miles,,,,,,,,,,,
Amex,The American Express® Gold Rewards Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Gold_Rewards_Card.png,Points,Air Miles,,,,,,,,,,,
Amex,The Platinum Card®,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/The_Platinum_Card.png,Points,Air Miles,,,,,,,,,,,
Amex,Choice Card from American ExpressTM,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Choice-Card-Art.png,Points,Air Miles,,,,,,,,,,,
Amex,American Express EssentialTM Credit Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Essential_Credit_Card.png,Cashback,,0,0,0,0,0,0,0,0,,,
Amex,Marriott BonvoyTM American Express® Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/marriott-bonvoy-card.png,Points,Mariott Bonvoy,,,,,,,,,,,
Amex,American Express® AIR MILES®* Reserve Credit Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Air_Miles_Reserve_Credit_Card.png,Points,Air Miles,0.75%,0.75%,1%,1%,1%,1%,0.75%,0.75%,,,
Amex,American Express® AIR MILES®* Platinum Credit Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Air_Miles_Platinum_Credit_Card.png,Points,Air Miles,1%,2%,1%,1%,2%,2%,1%,1%,,,
Amex,American Express® AIR MILES®* Credit Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Air_Miles_Credit_Card.png,Points,Air Miles,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,,,
Amex,American Express® Aeroplan®* Business Reserve Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/American_Express_Aeroplan_Business_Reserve_Card_prem_sbs.png,Points,Air Miles,,,,,,,,,,,
Amex,Business Platinum Card® from American Express,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Business_Platinum_Card.png,Points,Amex Points,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,,,
Amex,American Express Business EdgeTM Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/edge-business.png,Points,Amex Points,0.70%,2.10%,0.70%,0.70%,2.10%,0.70%,0.70%,0.70%,,,
Amex,American Express® Business Gold Rewards Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/Business_Gold_Rewards_Card.png,Points,Amex Points,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,,,
Amex,Marriott BonvoyTM Business American Express® Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/marriott-bonvoy-Business_Credit_Card.png,Points,Mariott Bonvoy,1.40%,2.10%,1.40%,1.40%,2.10%,2.10%,1.40%,1.40%,Mariott Bonvoy,3.50%,
Amex,American Express® AIR MILES®* for Business Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/AIR_MILES_for_Business_Card.png,Points,Air Miles,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,0.75%,,,
Amex,American Express® AIR MILES®* Gold Business Card,https://icm.aexp-static.com/Internet/internationalcardshop/en_ca/images/cards/AIR_MILES_Gold_Business_Card.png,Points,Air Miles,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,,,
MNBA,MBNA True Line®Mastercard®,https://www.mbna.ca/en/images/true-line-medium-en_tcm378-267320.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
MNBA,MBNA True Line Gold Mastercard®,https://www.mbna.ca/en/images/true-line-gold-medium-en_tcm378-268790.png,Cashback,,0%,0%,0%,0%,0%,0%,0%,0%,,,
MNBA,MBNA Rewards Platinum Plus® Mastercard®,https://www.mbna.ca/en/images/mbna-rewards-medium-en_tcm378-267369.png,Points,MBNA Points,1%,4%,4%,1%,1%,1%,1%,4%,,,
MNBA,MBNA Rewards World Elite® Mastercard®,https://www.mbna.ca/en/images/TDMB-0006_CreditCard_Rewards_World_Elite_170x107_En_tcm378-287453.png,Points,MBNA Points,1%,5%,5%,1%,1%,1%,1%,5%,,,
MNBA,MBNA Smart Cash Platinum Plus® Mastercard®,https://www.mbna.ca/en/images/smart-cash-medium-en_tcm378-267340.png,Cashback,,0.50%,0.50%,2%,0.50%,2%,0.50%,0.50%,0.50%,,,
MNBA,MBNA Smart Cash World Mastercard®,https://www.mbna.ca/en/images/smart-cash-mdeium-world-elite-medium-en_tcm378-267457.png,Cashback,,1%,1%,2%,1%,2%,1%,1%,1%,,,
MNBA,Amazon.ca Rewards Mastercard®,https://www.mbna.ca/en/images/amazon-Mastercard-medium-banner_tcm378-292795.jpg,Points,Amzn Rwards (PRIME),1%,1%,1%,1%,1%,1%,1%,1%,"Amazon, Whole Foods",2.50%,
MNBA,Alaska Airlines® World Elite® Mastercard®,https://www.mbna.ca/en/images/TDMB-0006_CreditCard_WorldElite_Alaska_170x107_En_tcm378-289188.png,Points,Alaska Airlines Miles,1.67%,1.67%,1.67%,1.67%,1.67%,1.67%,1.67%,1.67%,Alaska Airlines,5.01%,
MNBA,Alaska Airlines® Platinum Plus® Mastercard®,https://www.mbna.ca/en/images/TDMB-0006_CreditCard_PlatinumPlus_Alaska_170x107_En_tcm378-289189.png,Points,Alaska Airlines Miles,1.67%,1.67%,1.67%,1.67%,1.67%,1.67%,1.67%,1.67%,Alaska Airlines,5.01%,
MNBA,Best Western® Rewards Mastercard®,https://www.mbna.ca/en/images/best-western-medium-en_tcm378-267438.png,Points,Best Western Points,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,0.70%,Best Western,3.50%,
MNBA,Harley-Davidson®Mastercard®,https://www.mbna.ca/en/images/harley-davidson-medium-en_tcm378-267342.png,Points,Harley-Davidson® Genuine Rewards Points,1%,1%,1%,1%,1%,1%,1%,1%,,,
